post	target	implied_statement
you want black nationalism . there's no diff between the two except that if a white person says they want to focus on white it's racist . but a black person says that it's all good . so riddle me that ? id say both are retarded .	Black people	Black nationalism is same as White nationalism
if anyone in the doj actually cared, they would investigate these sanctuary supporting scumbags & stop this violence. dc is all talk.	Muslims	Muslims are scum and deserve to stop receiving support
they'll be easy to spot.no, wait!	Immigrants	Immigrants have stereotypes that are easy to recognize
" milo is gay & jew  "" ish "" "" . """	Jews and gays	Jews and gays are substandard people
i don't see anyone calling for genocides except against police and white people	Minorities	Minorities promote violence against whites
"In my humble opinion the ethic solution is the cruelest available, because its my duty as member of society to kill those who tries to attack my family and destroy my country. Also its okay to excommunicate those who will be like ""SHIIIIET, DONT YOU HAVE NO HEART?! THEY'RE KIIIIIDS, DUDE"""	Immigrants	Immigrants should be killed
thins stuff has to stop  if you're truly serious about stopping anti white hate crime join #whitehonor #betawards #venezuela	non-white people	non-white people are inferior
deflection-projection . the only real violence comes from antifa types who go out of their wa	Leftists	Leftists are aggressive and violent
" rt replace  "" white people "" "" with any other race & you'd be suspended.this is mainstream culture now  when will you wake up and help your own ? """	Minorities	Minorities are hypocrites
" saying someone isn't  "" a real jew "" "" isn't racist  there is no such thing as a jewish race . just lib jews """	Jews	Jews aren't real.
7 ) alt-right defeatest in nature . ( i'm a member ) . trump's winning drove our winning enthusiasm . but too	Alt-right followers	Alt-right followers are weak
remove the fucking jooze & their social marxist whores instead.	Jewish people	Jewish people are dangerous political idealists
soon it'll be racist if you breathe without their permission:	Black folks	Black people are stupid
" poor little president victim . did you only support the  "" black "" "" part of him ? pretty sure the "" "" white "" "" part was racist . """	Blacks	Blacks are bigots.
: swedish patriots burn down more facilities for non-white invaders	non-white people	Non-white people are invaders.
> how is white supremacy bad for white ppl ? > white supremacy without non-white inferiority ? > without white supemacy america is amexico	Minorities	Minorities are lower than the white race
stop the white genocide in south africa ! ( video ) via #flegs #tweetni	Black people	Black people are violent
yet more anti white propaganda	Liberals	Liberals promote hatred of whites
: alright ted kaczynski  mail bomb your way to a white ethnostate . while o	white people	White people are violent.
i'm 99.6 % white  so i want 4 % of all those sweet white gibs . be my ally sarah  accept your privilege and help me beat the system ! #resist	Minorities	Minorities are lower than whites.
no burka? punishable by death! no witnesses to your rape? punishable by death! ur loyal to america? punishable by death! #noshariainamerica	Muslims	Muslims are dangerous
immigration should be stopped altogether until islamic ideology is exterminated throughout the world.	Muslims	Muslims and their ideology should be exterminated
this whole antifa is run by jews is more of the same white su	Jews	Jews don't like white people.
" you're lying brazenly & you accuse us of  "" hate "" "" ? it is not hate to oppose jihad terror vs . ahmadis """	Muslims	Muslims are terrorists
merlan provides us with another example of why jews should be excluded from white countries #withjewswelose	Jews	Jews are inferior
please mr. president: stop all $ aid to illegals at once, starting w/obama's muslims. then deport them all.	Illegals	That illegals get aid
lol !!! crooked rats !	Politicians?	Politicians are untrustworthy
